GEMS_Station_Number,Sample_Date,Sample_Time,Depth,Parameter_Code,Analysis_Method_Code,Value,Unit,Data_Quality
DEU01620,6/1/2014,22:00,0,O2-Dis,0,6.57,mg/l,Fair
DEU01620,6/1/2014,22:00,0,NO3N,0,4.75,mg/l,Fair
DEU01620,6/1/2014,22:00,40,pH,0,7.57,---,Fair
DEU01620,6/1/2014,22:00,40,NO3N,0,4.67,mg/l,Fair
DEU01620,6/1/2014,22:00,40,TRP,0,0.041,mg/l,Fair
DEU01620,8/3/2014,22:00,40,NO3N,0,4.85,mg/l,Fair
DEU01620,8/3/2014,22:00,40,TRP,0,0.049,mg/l,Fair
DEU01620,8/3/2014,22:00,25,Cl-Tot,0,63.9,mg/l,Fair
DEU01620,8/3/2014,22:00,0,NO3N,0,3.18,mg/l,Fair
DEU01620,10/5/2014,22:00,25,SO4-Tot,0,105,mg/l,Fair
DEU01620,10/5/2014,22:00,25,NO3N,0,4.11,mg/l,Fair
DEU01620,10/5/2014,22:00,25,pH,0,7.54,---,Fair
DEU01620,10/5/2014,22:00,40,NH4N,0,0.011,mg/l,Fair
DEU01620,11/30/2014,23:00,0,Cl-Tot,0,58.6,mg/l,Fair
DEU01620,11/30/2014,23:00,0,TRP,0,0.049,mg/l,Fair
DEU01620,12/9/2018,23:00,0,Cl-Tot,0,91,mg/l,Fair
DEU01620,12/9/2018,23:00,0,TRP,0,0.055,mg/l,Fair
DEU01620,10/7/2018,22:00,0,Cl-Tot,0,81.5,mg/l,Fair
DEU01620,10/7/2018,22:00,0,TEMP,0,14.8,°C,Fair
DEU01620,10/7/2018,22:00,0,TRP,0,0.025,mg/l,Fair
DEU01620,10/7/2018,22:00,30,Cl-Tot,0,62.9,mg/l,Fair
DEU01620,10/7/2018,22:00,35,TEMP,0,6.3,°C,Fair
DEU01620,7/29/2018,22:00,35,TN,0,6.5,mg/l,Fair
DEU01620,7/29/2018,22:00,5,TEMP,0,21,°C,Fair
DEU01620,7/29/2018,22:00,5,pH,0,8.82,---,Fair
DEU01620,7/29/2018,22:00,30,TEMP,0,5.1,°C,Fair
DEU01620,7/29/2018,22:00,30,NH4N,0,0.015,mg/l,Fair
DEU01620,7/29/2018,22:00,30,SO4-Tot,0,44.3,mg/l,Fair
DEU01620,7/29/2018,22:00,40,pH,0,7.45,---,Fair
DEU01620,7/29/2018,22:00,0,4NNPHLBRA,0,0.3,µg/l,Fair
DEU01620,7/29/2018,22:00,0,PFOS,0,0.00075,µg/l,Fair
DEU01620,7/29/2018,22:00,0,BHC,0,0.00034,µg/l,Fair
DEU01620,7/29/2018,22:00,0,DIMPYLATE,0,0.001,µg/l,Fair
DEU01620,7/29/2018,22:00,0,DIFLUFENICAN,0,0.005,µg/l,Fair
DEU01620,7/29/2018,22:00,0,FLUFENACET,0,0.005,µg/l,Fair
DEU01620,7/29/2018,22:00,0,ANTHRACENE,0,0.0005,µg/l,Fair
DEU01620,7/29/2018,22:00,0,BZGHIPYL,0,0.0005,µg/l,Fair
DEU01620,7/29/2018,22:00,0,NPTH,0,0.03,µg/l,Fair
DEU01620,7/29/2018,22:00,0,BENTAZON,0,0.003,µg/l,Fair
DEU01620,7/29/2018,22:00,0,ISOPROTURON,0,0.01,µg/l,Fair
DEU01620,7/29/2018,22:00,0,METOLACHOR,0,0.01,µg/l,Fair
DEU01620,7/29/2018,22:00,0,TERBUTHYLAZINE,0,0.018,µg/l,Fair
DEU01620,7/29/2018,22:00,0,PROMETRYN,0,0.01,µg/l,Fair
DEU01620,7/29/2018,22:00,0,MECL,0,0.02,µg/l,Fair
DEU01620,7/29/2018,22:00,0,Tl-Tot,0,0.0001,mg/l,Fair
DEU01620,7/29/2018,22:00,0,Pb-Dis,0,0.0005,mg/l,Fair
DEU01620,7/29/2018,22:00,0,Hg-Tot,0,0.01,µg/l,Fair
DEU01620,6/3/2018,22:00,35,NH4N,0,0.015,mg/l,Fair
DEU01620,6/3/2018,22:00,40,TEMP,0,4.1,°C,Fair
DEU01620,6/3/2018,22:00,45,TN,0,6.4,mg/l,Fair
DEU01620,6/3/2018,22:00,30,pH,0,7.91,---,Fair
DEU01620,6/3/2018,22:00,30,O2-Dis,0,9.94,mg/l,Fair
DEU01620,6/3/2018,22:00,0,HBCDD,0,0.0006,µg/l,Fair
DEU01620,6/3/2018,22:00,0,DDT,0,0.0006,µg/l,Fair
DEU01620,6/3/2018,22:00,0,SCCP,0,0.07,µg/l,Fair
DEU01620,6/3/2018,22:00,0,BHC,0,0.00035,µg/l,Fair
DEU01620,6/3/2018,22:00,0,4TOTPHL,0,0.015,µg/l,Fair
DEU01620,6/3/2018,22:00,0,BAP,0,0.0001,µg/l,Fair
DEU01620,6/3/2018,22:00,0,FLAH,0,0.00062,µg/l,Fair
DEU01620,6/3/2018,22:00,0,24DP,0,0.001,µg/l,Fair
DEU01620,6/3/2018,22:00,0,ATRAZINE,0,0.01,µg/l,Fair
DEU01620,6/3/2018,22:00,0,DCMU,0,0.01,µg/l,Fair
DEU01620,6/3/2018,22:00,0,44DDT,0,0.0003,µg/l,Fair
DEU01620,6/3/2018,22:00,0,ALACHLOR,0,0.0003,µg/l,Fair
DEU01620,6/3/2018,22:00,0,PECBZ,0,0.001,µg/l,Fair
DEU01620,6/3/2018,22:00,0,PCE,0,0.005,µg/l,Fair
DEU01620,6/3/2018,22:00,0,TCE,0,0.005,µg/l,Fair
DEU01620,6/3/2018,22:00,0,EDC,0,0.02,µg/l,Fair
DEU01620,6/3/2018,22:00,0,Pb-Dis,0,0.0005,mg/l,Fair
DEU01620,6/3/2018,22:00,0,Ag-Tot,0,0.0119,µg/l,Fair
DEU01620,6/3/2018,22:00,0,NO3N,0,5.919,mg/l,Fair
DEU01620,4/2/2018,22:00,5,pH,0,7.73,---,Fair
DEU01620,4/2/2018,22:00,45,O2-Dis,0,12.5,mg/l,Fair
DEU01620,4/2/2018,22:00,0,TRP,0,0.024,mg/l,Fair
DEU01620,4/2/2018,22:00,0,NO3N,0,6.458,mg/l,Fair
DEU01620,4/2/2018,22:00,0,Ni-Tot,0,0.00482,mg/l,Fair
DEU01620,4/2/2018,22:00,0,Fe-Tot,0,0.074,mg/l,Fair
DEU01620,4/2/2018,22:00,0,Hg-Tot,0,0.01,µg/l,Fair
DEU01620,4/2/2018,22:00,0,Pb-Dis,0,0.0005,mg/l,Fair
DEU01620,4/2/2018,22:00,0,Tl-Tot,0,0.0001,mg/l,Fair
DEU01620,4/2/2018,22:00,0,TOC,0,6,mg/l,Fair
DEU01620,4/2/2018,22:00,0,CCl4,0,0.005,µg/l,Fair
DEU01620,4/2/2018,22:00,0,HXCBDE,0,0.001,µg/l,Fair
DEU01620,1/7/2008,9:45,0,BOD,0,1,mg/l,Fair
DEU01620,1/7/2008,9:45,0,O2-Dis,0,10.7,mg/l,Fair
DEU01620,3/9/2015,7:20,40,NO3N,0,4.77,mg/l,Fair
DEU01620,3/9/2015,7:20,40,Cl-Tot,0,85.2,mg/l,Fair
DEU01620,3/9/2015,7:20,0,O2-Dis,0,11.9,mg/l,Fair
DEU01620,3/9/2015,7:20,25,TP,0,0.324,mg/l,Fair
DEU01620,3/9/2015,7:20,25,Tl-Dis,0,0.0001,mg/l,Fair
DEU01620,3/9/2015,7:20,25,Pb-Tot,0,0.0005,mg/l,Fair
DEU01620,3/9/2015,7:20,25,Pb-Dis,0,0.0005,mg/l,Fair
DEU01620,3/9/2015,7:20,25,Ag-Dis,0,0.007,µg/l,Fair
DEU01620,3/9/2015,7:20,25,Cd-Tot,0,0.137,µg/l,Fair
DEU01620,3/9/2015,7:20,25,Hg-Tot,0,0.02,µg/l,Fair
DEU01620,3/9/2015,7:20,25,Fe-Tot,0,0.124,mg/l,Fair
DEU01620,3/9/2015,7:20,25,ATRAZINE,0,0.01,µg/l,Fair
DEU01620,3/9/2015,7:20,25,FLUFENACET,0,0.005,µg/l,Fair
DEU01620,3/9/2015,7:20,25,PHNH,0,0.003,µg/l,Fair
DEU01620,3/9/2015,7:20,25,BAP,0,0.003,µg/l,Fair
DEU01620,3/9/2015,7:20,25,HEXAZINONE,0,0.01,µg/l,Fair
DEU01620,3/9/2015,7:20,25,TERBUTHYLAZINE,0,0.01,µg/l,Fair
DEU01620,3/9/2015,7:20,25,TERBUTRYN,0,0.01,µg/l,Fair
DEU01620,1/6/2015,7:50,0,pH,0,7.57,---,Fair
DEU01620,1/6/2015,7:50,0,TN,0,4.7,mg/l,Fair
DEU01620,1/6/2015,7:50,0,NO3N,0,3.73,mg/l,Fair
DEU01620,1/6/2015,7:50,0,TP,0,0.0722,mg/l,Fair
DEU01620,1/6/2015,7:50,0,TRP,0,0.054,mg/l,Fair
DEU01620,11/2/2014,23:00,0,TN,0,5,mg/l,Fair
DEU01620,11/2/2014,23:00,0,TEMP,0,13.4,°C,Fair
DEU01620,11/2/2014,23:00,25,O2-Dis,0,4.66,mg/l,Fair
DEU01620,11/2/2014,23:00,25,TN,0,4.9,mg/l,Fair
DEU01620,11/2/2014,23:00,40,TP,0,0.0854,mg/l,Fair
DEU01620,11/2/2014,23:00,40,NH4N,0,0.093,mg/l,Fair
DEU01620,11/2/2014,23:00,40,TRP,0,0.05,mg/l,Fair
DEU01620,11/2/2014,23:00,40,Cl-Tot,0,66.8,mg/l,Fair
DEU01620,8/31/2014,22:00,40,SO4-Tot,0,81.1,mg/l,Fair
DEU01620,8/31/2014,22:00,40,O2-Dis,0,5.48,mg/l,Fair
DEU01620,8/31/2014,22:00,40,NO3N,0,4.96,mg/l,Fair
DEU01620,8/31/2014,22:00,0,O2-Dis,0,11.3,mg/l,Fair
DEU01620,8/31/2014,22:00,0,TN,0,4,mg/l,Fair
DEU01620,8/31/2014,22:00,25,TRP,0,0.035,mg/l,Fair
DEU01620,8/31/2014,22:00,25,TP,0,0.0453,mg/l,Fair
DEU01620,8/31/2014,22:00,25,O2-Dis,0,6.91,mg/l,Fair
DEU01620,7/6/2014,22:00,40,pH,0,7.6,---,Fair
DEU01620,7/6/2014,22:00,40,Cl-Tot,0,61.9,mg/l,Fair
DEU01620,7/6/2014,22:00,25,pH,0,7.8,---,Fair
DEU01620,7/6/2014,22:00,25,TN,0,5.8,mg/l,Fair
DEU01620,7/6/2014,22:00,25,NO3N,0,4.45,mg/l,Fair
DEU01620,7/6/2014,22:00,25,O2-Dis,0,8.5,mg/l,Fair
DEU01620,5/4/2014,22:00,0,pH,0,8.53,---,Fair
DEU01620,5/4/2014,22:00,0,TP,0,0.0312,mg/l,Fair
DEU01620,5/4/2014,22:00,0,TRP,0,0.01,mg/l,Fair
DEU01620,5/4/2014,22:00,25,NH4N,0,0.02,mg/l,Fair
DEU01620,5/4/2014,22:00,25,TP,0,0.0553,mg/l,Fair
DEU01620,3/17/2014,23:00,0,SO4-Tot,0,78.2,mg/l,Fair
DEU01620,3/17/2014,23:00,0,NH4N,0,0.014,mg/l,Fair
DEU01620,3/17/2014,23:00,0,TP,0,0.0464,mg/l,Fair
DEU01620,3/17/2014,23:00,40,NH4N,0,0.045,mg/l,Fair
DEU01620,3/17/2014,23:00,40,pH,0,7.85,---,Fair
DEU01620,1/5/2014,23:00,0,Cl-Tot,0,53.3,mg/l,Fair
DEU01620,11/4/2013,7:45,0,4TOTPHL,0,0.015,µg/l,Fair
DEU01620,11/4/2013,7:45,0,DIMETHOATE,0,0.008,µg/l,Fair
DEU01620,11/4/2013,7:45,0,GUTHION,0,0.002,µg/l,Fair
DEU01620,11/4/2013,7:45,0,PHNH,0,0.003,µg/l,Fair
DEU01620,11/4/2013,7:45,0,NPTH,0,0.006,µg/l,Fair
DEU01620,11/4/2013,7:45,0,BZBFLA,0,0.003,µg/l,Fair
DEU01620,11/4/2013,7:45,0,MECL,0,0.025,µg/l,Fair
DEU01620,11/4/2013,7:45,0,NH4N,0,0.03,mg/l,Fair
DEU01620,11/4/2013,7:45,0,TEMP,0,11.5,°C,Fair
DEU01620,11/4/2013,7:45,25,O2-Dis,0,7.19,mg/l,Fair
DEU01620,11/4/2013,7:45,25,pH,0,7.29,---,Fair
DEU01620,9/2/2013,7:00,0,4TOTPHL,0,0.015,µg/l,Fair
DEU01620,9/2/2013,7:00,0,NICOSULFURON,0,0.005,µg/l,Fair
DEU01620,9/2/2013,7:00,0,FENITROTHION,0,0.1,µg/l,Fair
DEU01620,9/2/2013,7:00,0,DICHLORVOS,0,0.005,µg/l,Fair
DEU01620,9/2/2013,7:00,0,BROMOXYNIL,0,0.001,µg/l,Fair
DEU01620,9/2/2013,7:00,0,ANTHRACENE,0,0.003,µg/l,Fair
DEU01620,9/2/2013,7:00,0,BZGHIPYL,0,0.0006,µg/l,Fair
DEU01620,9/2/2013,7:00,0,NPTH,0,0.006,µg/l,Fair
DEU01620,9/2/2013,7:00,0,BZKFLA,0,0.003,µg/l,Fair
DEU01620,9/2/2013,7:00,0,PIRIMICARB,0,0.01,µg/l,Fair
DEU01620,9/2/2013,7:00,0,MCPA,0,0.0035,µg/l,Fair
DEU01620,9/2/2013,7:00,0,ISOPROTURON,0,0.01,µg/l,Fair
DEU01620,9/2/2013,7:00,0,ATRAZINE,0,0.01,µg/l,Fair
DEU01620,9/2/2013,7:00,0,PARATHION,0,0.05,µg/l,Fair
DEU01620,9/2/2013,7:00,0,PCP,0,0.05,µg/l,Fair
DEU01620,9/2/2013,7:00,0,HCB,0,4.00E-05,µg/l,Fair
DEU01620,9/2/2013,7:00,0,CCl4,0,0.005,µg/l,Fair
DEU01620,9/2/2013,6:30,25,pH,0,7.2,---,Fair
DEU01620,9/2/2013,6:30,25,SO4-Tot,0,45.6,mg/l,Fair
DEU01620,9/2/2013,6:30,40,TEMP,0,10,°C,Fair
DEU01620,9/2/2013,6:30,40,TN,0,5.8,mg/l,Fair
DEU01620,9/2/2013,6:30,40,NH4N,0,0.015,mg/l,Fair
DEU01620,9/2/2013,6:30,0,O2-Dis,0,6.75,mg/l,Fair
DEU01620,7/8/2013,7:05,0,FENITROTHION,0,0.1,µg/l,Fair
DEU01620,7/8/2013,7:05,0,DIFLUFENICAN,0,0.005,µg/l,Fair
DEU01620,7/8/2013,7:05,0,BZGHIPYL,0,0.0006,µg/l,Fair
DEU01620,7/8/2013,7:05,0,BZBFLA,0,0.003,µg/l,Fair
DEU01620,7/8/2013,7:05,0,PIRIMICARB,0,0.01,µg/l,Fair
DEU01620,7/8/2013,7:05,0,AMETRYN,0,0.01,µg/l,Fair
DEU01620,7/8/2013,7:05,0,MCPPACID,0,0.018,µg/l,Fair
DEU01620,7/8/2013,7:05,0,24D,0,0.001,µg/l,Fair
DEU01620,7/8/2013,7:05,0,METOLACHOR,0,0.01,µg/l,Fair
DEU01620,7/8/2013,7:05,0,SIMAZINE,0,0.01,µg/l,Fair
DEU01620,7/8/2013,7:05,0,PECBZ,0,0.001,µg/l,Fair
DEU01620,7/8/2013,7:05,0,PCE,0,0.005,µg/l,Fair
DEU01620,7/8/2013,6:35,0,NO3N,0,5.56,mg/l,Fair
DEU01620,7/8/2013,6:35,25,NH4N,0,0.026,mg/l,Fair
DEU01620,7/8/2013,6:35,25,TN,0,6.6,mg/l,Fair
DEU01620,7/8/2013,6:35,25,O2-Dis,0,5.3,mg/l,Fair
DEU01620,7/8/2013,6:35,25,Cl-Tot,0,48.6,mg/l,Fair
DEU01620,5/13/2013,6:30,40,TN,0,7,mg/l,Fair
DEU01620,5/13/2013,6:30,40,NO3N,0,6.28,mg/l,Fair
DEU01620,5/13/2013,6:30,40,TP,0,0.0354,mg/l,Fair
DEU01620,5/13/2013,6:30,40,Cl-Tot,0,73.9,mg/l,Fair
DEU01620,5/13/2013,6:30,0,TRP,0,0.01,mg/l,Fair
DEU01620,1/7/2013,9:55,0,TN,0,5.8,mg/l,Fair
DEU01620,11/5/2012,7:30,40,TP,0,0.0369,mg/l,Fair
DEU01620,11/5/2012,7:30,40,NO3N,0,3.81,mg/l,Fair
DEU01620,11/5/2012,7:30,40,TEMP,0,7.1,°C,Fair
DEU01620,11/5/2012,7:30,40,TN,0,4.7,mg/l,Fair
DEU01620,11/5/2012,7:30,0,NO3N,0,3.65,mg/l,Fair
DEU01620,11/5/2012,7:30,0,TEMP,0,10.9,°C,Fair
DEU01620,11/5/2012,7:30,0,Cl-Tot,0,72.5,mg/l,Fair
